timestamp,lj_valve_state,lj_pump_state,temp0,temp1
2026-03-15T12:12:53.440865,0,0,22.69,28.37
2026-03-15T12:12:56.020809,0,0,22.69,28.37
2026-03-15T12:12:58.600866,0,0,22.62,28.37
2026-03-15T12:13:01.149740,0,0,22.69,28.37
2026-03-15T12:13:03.730735,0,0,22.62,28.37
2026-03-15T12:13:06.310786,0,0,22.62,28.37
2026-03-15T12:13:08.870814,0,0,22.62,28.37
2026-03-15T12:13:11.450792,0,0,22.62,28.37
2026-03-15T12:13:14.029657,0,0,22.62,28.37
2026-03-15T12:13:16.931737,0,0,22.62,28.37
2026-03-15T12:13:19.491716,0,0,22.62,28.37
2026-03-15T12:13:22.071919,0,0,22.62,28.37
2026-03-15T12:13:24.680762,0,0,22.62,28.37
2026-03-15T12:13:27.251676,0,0,22.62,28.37
2026-03-15T12:13:29.811644,0,0,22.62,28.37
2026-03-15T12:13:32.391656,0,0,22.62,28.37
2026-03-15T12:13:34.972501,0,0,22.62,28.37
2026-03-15T12:13:37.551562,0,0,22.56,28.37
2026-03-15T12:13:40.111549,0,0,22.56,28.5
2026-03-15T12:13:42.691530,0,0,22.56,28.37
2026-03-15T12:13:45.362587,0,0,22.56,28.37
2026-03-15T12:13:47.932481,0,0,22.56,28.5
2026-03-15T12:13:50.712516,0,0,22.56,28.5
2026-03-15T12:13:53.692488,0,0,22.56,28.37
2026-03-15T12:13:56.272548,0,0,22.56,28.5
2026-03-15T12:13:58.842482,0,0,22.56,28.5
2026-03-15T12:14:01.402479,0,0,22.56,28.5
2026-03-15T12:14:04.161438,0,0,22.56,28.5
2026-03-15T12:14:06.732455,0,0,22.56,28.5
2026-03-15T12:14:09.312466,0,0,22.56,28.5
2026-03-15T12:14:11.902503,0,0,22.56,28.37
2026-03-15T12:14:14.752422,0,0,22.5,28.5
2026-03-15T12:14:17.572379,0,0,22.5,28.5
2026-03-15T12:14:20.689405,0,0,22.5,28.5
2026-03-15T12:14:23.613610,0,0,22.5,28.37
2026-03-15T12:14:26.563378,0,0,22.5,28.5
2026-03-15T12:14:29.402354,0,0,22.5,28.5
2026-03-15T12:14:31.983329,0,0,22.44,28.5
2026-03-15T12:14:34.533323,0,0,22.5,28.5
2026-03-15T12:14:37.103285,0,0,22.5,28.5
2026-03-15T12:14:39.853286,0,0,22.5,28.5
2026-03-15T12:14:42.543261,0,0,22.5,28.5
2026-03-15T12:14:45.102204,0,0,22.44,28.5
2026-03-15T12:14:47.652133,0,0,22.44,28.5
2026-03-15T12:14:50.423167,0,0,22.44,28.5
2026-03-15T12:14:53.194241,0,0,22.5,28.5
2026-03-15T12:14:55.754232,0,0,22.44,28.5
2026-03-15T12:14:58.304123,0,0,22.44,28.5
2026-03-15T12:15:00.903152,0,0,22.44,28.5
2026-03-15T12:15:03.451988,0,0,22.44,28.5
2026-03-15T12:15:06.144036,0,0,22.44,28.37
2026-03-15T12:15:08.723099,0,0,22.44,28.5
2026-03-15T12:15:11.274081,0,0,22.44,28.5
2026-03-15T12:15:14.254068,0,0,22.44,28.5
2026-03-15T12:15:16.834139,0,0,22.37,28.5
2026-03-15T12:15:19.594007,0,0,22.44,28.5
2026-03-15T12:15:22.182995,0,0,22.44,28.5
2026-03-15T12:15:24.733968,0,0,22.37,28.37
2026-03-15T12:15:27.294935,0,0,22.37,28.5
2026-03-15T12:15:29.854909,0,0,22.37,28.5
2026-03-15T12:15:32.756375,0,0,22.44,28.5
2026-03-15T12:15:35.334917,0,0,22.37,28.5
2026-03-15T12:15:37.914960,0,0,22.37,28.5
2026-03-15T12:15:40.474813,0,0,22.37,28.5
2026-03-15T12:15:43.184872,0,0,22.37,28.37
2026-03-15T12:15:45.754785,0,0,22.37,28.5
2026-03-15T12:15:49.463689,0,0,22.37,28.5
2026-03-15T12:15:52.094734,0,0,22.37,28.5
2026-03-15T12:15:54.864815,0,0,22.37,28.5
2026-03-15T12:15:57.414805,0,0,22.31,28.5
2026-03-15T12:15:59.994787,0,0,22.31,28.5
2026-03-15T12:16:02.645656,0,0,22.37,28.37
2026-03-15T12:16:05.215607,0,0,22.37,28.5
2026-03-15T12:16:07.785693,0,0,22.31,28.5
2026-03-15T12:16:10.335583,0,0,22.37,28.5
2026-03-15T12:16:13.115549,0,0,22.31,28.37
2026-03-15T12:16:15.875570,0,0,22.37,28.5
2026-03-15T12:16:18.435537,0,0,22.31,28.37
2026-03-15T12:16:21.025496,0,0,22.31,28.37
2026-03-15T12:16:23.574526,0,0,22.31,28.37
2026-03-15T12:16:26.165470,0,0,22.31,28.5
2026-03-15T12:16:28.945443,0,0,22.31,28.37
2026-03-15T12:16:31.514467,0,0,22.31,28.37
2026-03-15T12:16:34.416427,0,0,22.25,28.5
2026-03-15T12:16:36.986418,0,0,22.25,28.5
2026-03-15T12:16:39.736404,0,0,22.25,28.37
2026-03-15T12:16:42.316330,0,0,22.31,28.37
2026-03-15T12:16:44.906357,0,0,22.31,28.37
2026-03-15T12:16:47.686338,0,0,22.31,28.37
2026-03-15T12:16:50.256308,0,0,22.31,28.37
2026-03-15T12:16:52.836225,0,0,22.25,28.37
2026-03-15T12:16:55.416238,0,0,22.25,28.37
2026-03-15T12:16:58.106204,0,0,22.25,28.5
2026-03-15T12:17:00.685234,0,0,22.25,28.37
2026-03-15T12:17:03.256221,0,0,22.25,28.37
2026-03-15T12:17:06.277235,0,0,22.25,28.37
2026-03-15T12:17:08.847075,0,0,22.25,28.5
2026-03-15T12:17:11.537165,0,0,22.25,28.37
2026-03-15T12:17:14.117089,0,0,22.25,28.37
2026-03-15T12:17:17.017114,0,0,22.25,28.37
2026-03-15T12:17:19.597172,0,0,22.25,28.5
2026-03-15T12:17:22.167009,0,0,22.25,28.5
2026-03-15T12:17:25.537017,0,0,22.19,28.37
2026-03-15T12:17:28.246087,0,0,22.25,28.37
2026-03-15T12:17:30.816932,0,0,22.19,28.37
2026-03-15T12:17:34.056897,0,0,22.19,28.5
2026-03-15T12:17:36.615864,0,0,22.25,28.37
2026-03-15T12:17:39.376889,0,0,22.19,28.37
2026-03-15T12:17:42.086746,0,0,22.19,28.5
2026-03-15T12:17:45.172734,0,0,22.19,28.5
2026-03-15T12:17:47.817776,0,0,22.19,28.5
2026-03-15T12:17:50.377796,0,0,22.19,28.5
2026-03-15T12:17:53.136695,0,0,22.19,28.37
2026-03-15T12:17:55.716563,0,0,22.25,28.37
2026-03-15T12:17:58.827596,0,0,22.19,28.5
2026-03-15T12:18:01.597682,0,0,22.19,28.37
2026-03-15T12:18:04.186768,0,0,22.19,28.5
2026-03-15T12:18:06.987454,0,0,22.19,28.37
2026-03-15T12:18:09.557556,0,0,22.12,28.5
2026-03-15T12:18:12.328509,0,0,22.19,28.37
2026-03-15T12:18:14.907199,0,0,22.19,28.5
2026-03-15T12:18:17.458523,0,0,22.12,28.37
2026-03-15T12:18:20.018462,0,0,22.12,28.37
2026-03-15T12:18:22.578405,0,0,22.19,28.37
2026-03-15T12:18:25.408337,0,0,22.12,28.37
2026-03-15T12:18:28.038362,0,0,22.12,28.37
2026-03-15T12:18:30.598289,0,0,22.19,28.37
2026-03-15T12:18:33.308308,0,0,22.12,28.37
2026-03-15T12:18:35.858271,0,0,22.12,28.37
2026-03-15T12:18:38.417273,0,0,22.12,28.5
2026-03-15T12:18:40.988145,0,0,22.12,28.37
2026-03-15T12:18:43.558246,0,0,22.12,28.37
2026-03-15T12:18:46.118140,0,0,22.12,28.37
2026-03-15T12:18:48.899075,0,0,22.12,28.37
2026-03-15T12:18:51.469124,0,0,22.06,28.37
2026-03-15T12:18:54.018130,0,0,22.06,28.37
2026-03-15T12:18:56.578139,0,0,22.06,28.37
2026-03-15T12:18:59.138105,0,0,22.06,28.37
2026-03-15T12:19:01.709057,0,0,22.06,28.37
2026-03-15T12:19:04.399200,0,0,22.06,28.25
2026-03-15T12:19:06.968940,0,0,22.06,28.37
2026-03-15T12:19:09.598940,0,0,22.06,28.25
2026-03-15T12:19:12.367927,0,0,22.06,28.25
2026-03-15T12:19:15.118990,0,0,22.0,28.25
2026-03-15T12:19:17.678919,0,0,22.06,28.25
2026-03-15T12:19:20.775788,0,0,22.06,28.25
2026-03-15T12:19:23.639797,0,0,22.06,28.25
2026-03-15T12:19:26.639725,0,0,22.0,28.25
2026-03-15T12:19:29.439684,0,0,22.0,28.25
2026-03-15T12:19:32.319688,0,0,22.0,28.12
2026-03-15T12:19:34.879639,0,0,22.06,28.25
2026-03-15T12:19:38.429671,0,0,22.0,28.12
2026-03-15T12:19:41.109620,0,0,22.0,28.25
2026-03-15T12:19:44.019476,0,0,22.0,28.25
2026-03-15T12:19:46.769561,0,0,21.94,28.25
2026-03-15T12:19:49.539487,0,0,22.0,28.25
2026-03-15T12:19:52.418493,0,0,21.94,28.25
2026-03-15T12:19:54.980452,0,0,22.0,28.12
2026-03-15T12:19:57.539323,0,0,21.94,28.25
2026-03-15T12:20:00.840226,0,0,21.94,28.12
2026-03-15T12:20:03.409023,0,0,21.94,28.12
2026-03-15T12:20:06.089026,0,0,21.94,28.12
2026-03-15T12:20:08.649053,0,0,21.94,28.12
2026-03-15T12:20:11.197952,0,0,21.94,28.12
2026-03-15T12:20:13.768941,0,0,21.94,28.12
2026-03-15T12:20:16.519984,0,0,21.94,28.12
2026-03-15T12:20:19.108863,0,0,21.94,28.12
2026-03-15T12:20:21.787774,0,0,21.94,28.12
2026-03-15T12:20:24.950850,0,0,21.87,28.12
2026-03-15T12:20:28.050739,0,0,21.87,28.12
2026-03-15T12:20:30.599700,0,0,21.94,28.12
2026-03-15T12:20:34.199683,0,0,21.94,28.12
2026-03-15T12:20:36.760572,0,0,21.87,28.12
2026-03-15T12:20:39.319563,0,0,21.94,28.12
2026-03-15T12:20:41.897722,0,0,21.87,28.12
2026-03-15T12:20:44.670528,0,0,21.87,28.12
2026-03-15T12:20:47.219507,0,0,21.87,28.12
2026-03-15T12:20:49.780446,0,0,21.94,28.12
2026-03-15T12:20:52.350483,0,0,21.87,28.12
2026-03-15T12:20:55.040405,0,0,21.87,28.12
2026-03-15T12:20:57.790437,0,0,21.87,28.12
2026-03-15T12:21:00.497519,0,0,21.87,28.0
2026-03-15T12:21:03.271391,0,0,21.87,28.12
2026-03-15T12:21:06.091321,0,0,21.87,28.0
2026-03-15T12:21:08.982685,0,0,21.87,28.0
2026-03-15T12:21:11.740195,0,0,21.87,28.12
2026-03-15T12:21:14.301338,0,0,21.81,28.12
2026-03-15T12:21:16.881165,0,0,21.87,28.0
2026-03-15T12:21:19.441181,0,0,21.87,28.0
2026-03-15T12:21:21.991045,0,0,21.87,28.12
2026-03-15T12:21:24.561183,0,0,21.81,28.0
2026-03-15T12:21:27.148207,0,0,21.87,28.0
2026-03-15T12:21:29.841010,0,0,21.81,28.0
2026-03-15T12:21:32.801963,0,0,21.87,28.0
2026-03-15T12:21:35.522019,0,0,21.81,28.12
2026-03-15T12:21:38.101929,0,0,21.81,28.12
2026-03-15T12:21:40.670870,0,0,21.81,28.0
2026-03-15T12:21:43.221039,0,0,21.81,28.0
2026-03-15T12:21:45.781809,0,0,21.81,28.0
2026-03-15T12:21:48.331780,0,0,21.81,28.0
2026-03-15T12:21:50.891753,0,0,21.81,28.0
2026-03-15T12:21:53.571776,0,0,21.81,28.0
2026-03-15T12:21:56.311722,0,0,21.81,28.0
2026-03-15T12:21:58.871709,0,0,21.81,28.0
2026-03-15T12:22:01.700793,0,0,21.81,28.0
2026-03-15T12:22:04.261874,0,0,21.75,28.0
2026-03-15T12:22:06.821586,0,0,21.81,28.0
2026-03-15T12:22:09.652550,0,0,21.75,28.0
2026-03-15T12:22:12.332506,0,0,21.75,28.0
2026-03-15T12:22:14.881570,0,0,21.81,28.0
2026-03-15T12:22:17.433645,0,0,21.75,28.0
2026-03-15T12:22:20.112416,0,0,21.75,28.0
2026-03-15T12:22:22.782452,0,0,21.75,28.0
2026-03-15T12:22:25.352304,0,0,21.75,28.0
2026-03-15T12:22:28.232291,0,0,21.75,28.0
2026-03-15T12:22:30.782305,0,0,21.75,28.0
